Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Thermal Expansion Coefficient (l, 1/K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Thermal Expansion Coefficient (v, 1/K)
17.5570000000	0.0395075729328	73.8110210074	0.0135481122785	-26.5880536369	-26.0528006030	-1.32878742405	5.46464967235	8.37972196761	1190.61391863	-1.23635493538	1.72870119242e-05	0.102166398362	0.00240026662896	0.0134017711	0.574589698073	1.74037230976	361.568594990	430.326480948	24.6653620064	6.35793811279	11.1679850941	338.050874611	21.7115776052	8.41927585051e-07	0.0142031104787	0.0648928287
17.6570000000	0.0410341857789	73.7134624120	0.0135660429897	-25.7534811940	-25.1968096657	-1.28134636542	5.47246486976	8.42425001988	1188.28431159	-1.22649291472	1.71239147080e-05	0.102252374971	0.00238279727412	0.0135001217	0.594234278723	1.68283795770	362.021257701	431.075143094	24.5595072767	6.36067293258	11.1910640327	338.791215532	21.5649006193	8.47366193946e-07	0.0143106802292	0.0647566996
17.7570000000	0.0426038783100	73.6153668344	0.0135841203135	-24.9146862038	-24.3359499951	-1.23393284856	5.48018672456	8.46907191339	1185.94114215	-1.21662812109	1.69633151370e-05	0.102336068528	0.00236533379059	0.0135996244	0.614354309113	1.62772521518	362.470075048	431.817482038	24.4547213179	6.36341625982	11.2146072341	339.525234135	21.4205650949	8.52806230824e-07	0.0144187581228	0.0646270301
17.8570000000	0.0442173794453	73.5167301575	0.0136023459947	-24.0716477782	-23.4701876840	-1.18654531686	5.48781934892	8.51419466671	1183.58401298	-1.20675935048	1.68051541155e-05	0.102417478810	0.00234787627701	0.0137002956	0.634956606306	1.57491077354	362.914992824	432.553420089	24.3509810187	6.36617157704	11.2386264618	340.252922787	21.2784984723	8.58247944673e-07	0.0145273526691	0.0645037923
17.9570000000	0.0458754206136	73.4175482407	0.0136207218024	-23.2243445750	-22.5994882333	-1.13918221213	5.49536687496	8.55962565940	1181.21254220	-1.19688535413	1.66493744973e-05	0.102496605637	0.00233042483381	0.0138021524	0.656048039051	1.52427862058	363.355956840	433.282879691	24.2482637936	6.36894236213	11.2631336326	340.974273151	21.1386301577	8.63691588532e-07	0.0146364724384	0.0643869606
18.0570000000	0.0475787356749	73.3178169142	0.0136392495315	-22.3727547714	-21.7238165232	-1.09184197303	5.50283342119	8.60537259356	1178.82636315	-1.18700484663	1.64959209928e-05	0.102573448866	0.00231297956324	0.0139052133	0.677635529581	1.47571955180	363.792912930	434.005783415	24.1465475678	6.37173208035	11.2881408155	341.689276251	21.0008915437	8.69137419620e-07	0.0147461260651	0.0642765116
18.1570000000	0.0493280608453	73.2175319729	0.0136579310044	-21.5168560416	-20.8431367899	-1.04452303383	5.51022306406	8.65144346097	1176.42512402	-1.17711651281	1.63447400797e-05	0.102648008382	0.00229554056944	0.0140094977	0.699726055474	1.42913071791	364.225806943	434.722053952	24.0458107626	6.37454417704	11.3136602323	342.397922536	20.8652160206	8.74585699457e-07	0.0148563222495	0.0641724243
18.2570000000	0.0511241346221	73.1166891716	0.0136767680721	-20.6566255368	-19.9574126047	-0.997223823397	5.51753981397	8.69784651534	1174.00848751	-1.16721901339	1.61957799209e-05	0.102720284092	0.00227810795847	0.0141150262	0.722326651573	1.38441520581	364.654584747	435.431614102	23.9460322815	6.37738207085	11.3397042591	343.100201937	20.7315389781	8.80036693989e-07	0.0149670697619	0.0640746797
18.3570000000	0.0529676977139	73.0152842189	0.0136957626160	-19.7920398695	-19.0666068553	-0.949942764291	5.52478759530	8.74459024913	1171.57613036	-1.15731098965	1.60489902858e-05	0.102790275918	0.00226068183838	0.0142218206	0.745444411977	1.34148165032	365.079192216	436.134386758	23.8471914959	6.38024914752	11.3662854285	343.796103925	20.5997978007	8.85490673720e-07	0.0150783774450	0.0639832612
18.4570000000	0.0548594929685	72.9133127732	0.0137149165491	-18.9230750983	-18.1706817303	-0.902678272100	5.53197022996	8.79168337450	1169.12774290	-1.14739106715	1.59043224776e-05	0.102857983789	0.00224326231920	0.0143299037	0.769086492099	1.30024387409	365.499575228	436.830294897	23.7492682320	6.38314875426	11.3934164330	344.485617565	20.4699318552	8.90947913840e-07	0.0151902542176	0.0638981547
18.5570000000	0.0568002653074	72.8107704366	0.0137342318177	-18.0497067164	-17.2695987054	-0.855428754842	5.53909142407	8.83913480795	1166.66302847	-1.13745785876	1.57617292640e-05	0.102923407636	0.00222584951306	0.0144392993	0.793260110785	1.26062055359	365.915679660	437.519261556	23.6522427578	6.38608419459	11.4211101286	345.168731570	20.3418824729	8.96408694361e-07	0.0153027090783	0.0638193483
18.6570000000	0.0587907616581	72.7076527511	0.0137537104027	-17.1719096412	-16.3633185310	-0.808192612491	5.54615475741	8.88695365833	1164.18170298	-1.12750996690	1.56211648124e-05	0.102986547385	0.00220844353420	0.0145500323	0.817972552519	1.22253490893	366.327451371	438.201209821	23.5560957700	6.38905872374	11.4493795407	345.845434348	20.2155929258	9.01873300255e-07	0.0154157511088	0.0637468324
18.7570000000	0.0608317308916	72.6039551933	0.0137733543212	-16.2896582048	-15.4518012213	-0.760968236586	5.55316367524	8.93514921791	1161.68349424	-1.11754598528	1.54825846283e-05	0.103047402949	0.00219104449903	0.0146621289	0.843231169684	1.18591441582	366.734836201	438.876062805	23.4608083815	6.39207554446	11.4782378694	346.515714047	20.0910083996	9.07342021590e-07	0.0155293894780	0.0636805999
18.8570000000	0.0629239237597	72.4996731703	0.0137931656278	-15.4029261463	-14.5350060439	-0.713754009908	5.56012148230	8.98373095613	1159.16814148	-1.10756450008	1.53459454980e-05	0.103105974222	0.00217365252618	0.0147756162	0.869043384911	1.15069053785	367.137779950	439.543743624	23.3663621097	6.39513780338	11.5076984967	347.179558605	19.9680759612	9.12815153675e-07	0.0156436334463	0.0636206461
18.9570000000	0.0650680928355	72.3948020147	0.0138131464162	-14.5116866045	-13.6128915112	-0.666548306203	5.56703133863	9.03270851586	1156.63539472	-1.09756409066	1.52112054339e-05	0.103162261069	0.00215626773659	0.0148905224	0.895416693502	1.11679847747	367.536228370	440.204175380	23.2727388643	6.39824858775	11.5377749942	347.836955785	19.8467445237	9.18292997206e-07	0.0157584923693	0.0635669687
19.0570000000	0.0672649924557	72.2893369809	0.0138332988206	-13.6159121119	-12.6854153711	-0.619349489950	5.57389625697	9.08209171185	1154.08501419	-1.08754332994	1.50783236229e-05	0.103216263327	0.00213889025349	0.0150068770	0.922358665930	1.08417694433	367.930127149	440.857281129	23.1799209356	6.40141092263	11.5684811319	348.487893219	19.7269648086	9.23775858414e-07	0.0158739757030	0.0635195682
19.1570000000	0.0695153786639	72.1832732401	0.0138536250174	-12.7155745882	-11.7525345992	-0.572155916155	5.58071910166	9.13189053126	1151.51676972	-1.07750078440	1.49472603780e-05	0.103267980790	0.00212152020256	0.0151247104	0.949876950428	1.05276793963	368.319421894	441.502983863	23.0878909838	6.40462776850	11.5998308875	349.132358444	19.6086893050	9.29264049217e-07	0.0159900930080	0.0634784474
19.2570000000	0.0718200091576	72.0766058767	0.0138741272267	-11.8106453346	-10.8142053901	-0.524965930156	5.58750258865	9.18211513604	1148.93044022	-1.06743501382	1.48179770922e-05	0.103317413205	0.00210415771189	0.0152440544	0.977979275656	1.02251655520	368.704058118	442.141206476	22.9966320273	6.40790201920	11.6318384569	349.770338936	19.4918722273	9.34757887382e-07	0.0161068539547	0.0634436117
19.3570000000	0.0741796432359	71.9693298836	0.0138948077135	-10.9010950287	-9.87038314966	-0.477777867444	5.59424928657	9.23277586688	1146.32581298	-1.05734457075	1.46904361948e-05	0.103364560267	0.00208680291215	0.0153649417	1.00667345347	0.993370786284	369.083981213	442.771871741	22.9061274325	6.41123650029	11.6645182656	350.401822143	19.3764694711	9.40257696678e-07	0.0162242683284	0.0634150693
19.4570000000	0.0765950417490	71.8614401581	0.0139156687898	-9.98689371819	-8.92102248627	-0.430590053478	5.60096161872	9.28388324884	1143.70268322	-1.04722799979	1.45646011106e-05	0.103409421611	0.00206945593655	0.0154874065	1.03596738175	0.965281356939	369.459136441	443.394902275	22.8163609030	6.41463396776	11.6978849809	351.026795517	19.2624385676	9.45763807047e-07	0.0163423460348	0.0633928310
19.5570000000	0.0790669670508	71.7529314982	0.0139367128161	-9.06801081566	-7.96607720263	-0.383400803498	5.60764186581	9.33544799831	1141.06085339	-1.03708383665	1.44404362203e-05	0.103451996803	0.00205211692097	0.0156114838	1.06586904739	0.938201557169	369.829468902	444.010220510	22.7273164697	6.41809710698	11.7319535249	351.645246542	19.1497386372	9.51276554769e-07	0.0164610971058	0.0633769104
19.6570000000	0.0815961829528	71.6437985976	0.0139579422026	-8.14441509219	-7.00550028658	-0.336208422326	5.61429216926	9.38748103123	1138.40013272	-1.02691060713	1.43179068238e-05	0.103492285335	0.00203478600404	0.0157372102	1.09638652930	0.912087090886	370.194923522	444.617748659	22.6389784803	6.42162853206	11.7667390883	352.257162759	19.0383303425	9.56796282640e-07	0.0165805317051	0.0633673239
19.7570000000	0.0841834546799	71.5340360425	0.0139793594116	-7.21607467112	-6.03924390164	-0.289011204147	5.62091453514	9.43999347263	1135.72033658	-1.01670682587	1.41969791048e-05	0.103530286617	0.00201746332716	0.0158646235	1.12752800159	0.886895933926	370.555445024	445.217408683	22.5513315900	6.42523078545	11.8022571457	352.862531792	18.9281758402	9.62323340148e-07	0.0167006601350	0.0633640908
